"cohort","program","n","spearman_rho","p","ci_low","ci_high"
"GSE283079","general_inflammation",36,0.328185328185328,0.0506866383772388,-0.00866475524928494,0.589576466896333
"GSE283079","mhc_ii_apc_primary",36,0.0913770913770914,0.596094978060151,-0.234884437043361,0.398256738709224
"GSE283079","mhc_ii_apc_generic",36,0.0774774774774775,0.653334160267136,-0.239499871859886,0.391342245328782
"GSE283079","t_cell_context",36,-0.358558558558559,0.0317611781877347,-0.623090768583055,-0.0450792680793019
"GSE283079","b_cell_context",36,-0.178893178893179,0.296518156699618,-0.47154640233704,0.159973291973819
"GSE283079","myeloid_context",36,0.273101673101673,0.107052201989157,-0.0488765047485331,0.54872338411861
"GSE283079","interferon_state",36,0.27001287001287,0.111240007970903,-0.0187125808950301,0.524413516192817
"GSE283079","fibroblast_ecm",36,0.0234234234234234,0.892138249008272,-0.24910541607014,0.296878630442435
"GSE283079","osteoclast_context",36,0.0213642213642214,0.901572287536875,-0.285885759973527,0.324274226032157
